theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-22,176.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-21,181.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-20,189.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-19,204.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-18,203.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-17,204.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-16,208.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-15,209.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-14,202.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-13,201.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-12,190.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-11,189.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-10,187.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-09,184.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-08,185.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-07,189.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-06,185.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-05,179.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-04,178.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-03,172.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-02,173.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-03-01,178.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-29,181.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-28,189.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-27,207.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-26,214.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-25,224.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-24,234.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-23,243.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-22,263.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-21,273.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-20,290.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-19,312.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-18,337.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-17,360.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-16,376.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-15,388.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-14,411.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-13,432.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-12,458.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-11,493.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-10,514.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-09,532.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-08,545.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-07,568.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-06,593.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-05,617.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-04,636.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-03,649.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-02,655.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-02-01,677.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-31,712.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-30,736.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-29,768.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-28,805.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-27,828.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-26,851.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-25,860.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-24,853.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-23,847.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-22,826.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-21,792.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-20,783.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-19,765.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-18,768.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-17,768.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-16,772.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-15,774.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-14,794.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-13,805.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-12,838.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-11,862.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-10,900.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-09,955.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-08,1034.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-07,1049.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-06,1103.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-05,1155.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-04,1219.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-03,1273.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-02,1299.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2024,2024-01-01,1268.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-31,1237.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-30,1219.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-29,1194.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-28,1171.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-27,1157.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-26,1154.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-25,1196.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-24,1300.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-23,1327.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-22,1317.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-21,1303.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-20,1259.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-19,1227.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-18,1201.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-17,1153.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-16,1119.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-15,1104.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-14,1076.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-13,1042.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-12,1008.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-11,962.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-10,920.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-09,879.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-08,839.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-07,787.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-06,763.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-05,730.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-04,692.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-03,653.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-02,625.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-12-01,611.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-30,610.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-29,596.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-28,578.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-27,564.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-26,565.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-25,572.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-24,575.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-23,571.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-22,585.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-21,588.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-20,613.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-19,619.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-18,625.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-17,603.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-16,570.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-15,546.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-14,555.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-13,563.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-12,568.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-11,580.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-10,622.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-09,687.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-08,732.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-07,758.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-06,778.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-05,811.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-04,834.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-03,855.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-02,883.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-11-01,912.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-31,932.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-30,960.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-29,984.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-28,1004.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-27,1023.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-26,1054.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-25,1098.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-24,1152.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-23,1188.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-22,1227.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-21,1259.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-20,1295.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-19,1340.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-18,1372.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-17,1443.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-16,1530.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-15,1643.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-14,1764.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-13,1842.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-12,1935.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-11,2037.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-10,2116.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-09,2206.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-08,2265.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-07,2307.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-06,2344.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-05,2345.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-04,2354.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-03,2386.2900
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-02,2392.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-10-01,2380.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-30,2329.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-29,2276.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-28,2213.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-27,2142.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-26,2031.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-25,1924.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-24,1834.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-23,1776.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-22,1742.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-21,1694.5700
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-20,1652.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-19,1599.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-18,1560.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-17,1545.4300
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-16,1541.8600
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-15,1544.1400
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-14,1573.7100
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-13,1599.0000
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_countRollingMean,all,all,default,2023,2023-09-12,1647.2900
